stamp,face_id,fused_x,fused_y,fused_z,fused_qx,fused_qy,fused_qz,fused_qw,pred_x,pred_y,pred_z,pred_qx,pred_qy,pred_qz,pred_qw,pos_err,ang_err_deg,image_error,object_error,weight
1767066232.468706,10,-0.219730,-0.041589,0.576508,0.513475,0.670225,-0.272999,0.461100,-0.219749,-0.041562,0.576688,0.512953,0.670313,-0.273613,0.461190,0.000183,0.093390,0.000000,1.075010,0.930224
1767066232.502089,10,-0.219698,-0.041610,0.576371,0.513547,0.670229,-0.272853,0.461101,-0.219668,-0.041630,0.576241,0.513634,0.670233,-0.272676,0.461102,0.000136,0.022665,0.000000,1.109197,0.901553
1767066232.535584,10,-0.219361,-0.041666,0.575609,0.513609,0.670953,-0.272382,0.460257,-0.219038,-0.041720,0.574882,0.513683,0.671831,-0.271809,0.459231,0.000798,0.168318,0.000000,1.199403,0.833748
1767066232.569090,10,-0.219829,-0.041694,0.576183,0.514627,0.670394,-0.271590,0.460401,-0.220277,-0.041721,0.576730,0.515863,0.669715,-0.270628,0.460574,0.000707,0.196573,0.000000,1.101939,0.907491
1767066232.602540,10,-0.220185,-0.041554,0.576843,0.514420,0.669825,-0.272904,0.460685,-0.220526,-0.041419,0.577475,0.514165,0.669131,-0.274500,0.461029,0.000730,0.205301,0.000000,1.108131,0.902420
1767066232.635975,10,-0.220293,-0.041737,0.576244,0.516044,0.669769,-0.270497,0.460369,-0.220396,-0.041912,0.575670,0.518011,0.669693,-0.267570,0.459980,0.000608,0.406698,0.000000,1.140502,0.876807
1767066232.669461,10,-0.220364,-0.041810,0.575936,0.516898,0.669781,-0.269202,0.460153,-0.220432,-0.041880,0.575642,0.517934,0.669793,-0.267628,0.459889,0.000310,0.218040,0.000000,1.058138,0.945056
1767066232.702715,10,-0.220665,-0.041706,0.576530,0.516323,0.669290,-0.269568,0.461297,-0.220953,-0.041607,0.577099,0.515622,0.668690,-0.270012,0.462689,0.000646,0.198059,0.000000,1.156138,0.864949
1767066232.736336,10,-0.220597,-0.041599,0.576714,0.515562,0.669546,-0.270997,0.460938,-0.220533,-0.041496,0.576890,0.514638,0.669855,-0.272729,0.460501,0.000213,0.233238,0.000000,1.226484,0.815339
1767066232.769708,10,-0.220604,-0.041696,0.576493,0.516255,0.669226,-0.270139,0.461132,-0.220611,-0.041788,0.576282,0.517096,0.668836,-0.269095,0.461366,0.000231,0.162164,0.000000,1.096644,0.911873
